Event,Date,Time,Venue,City,State,Genre,Sub-Genre,Segment,Performer,Min Price,Max Price,Sales Status,On-Sale Date,Promoter,Ticket URL
San Antonio Spurs vs Phoenix Suns,2025-02-20,20:30:00,Moody Center ATX,Austin,Texas,Basketball,NBA,Sports,San Antonio Spurs,85.0,2371.0,onsale,2024-08-16T15:00:00Z,NBA EXHIBITION & PRESEASON,https://www.ticketmaster.com/san-antonio-spurs-vs-phoenix-suns-austin-texas-02-20-2025/event/3A006101A73B84D2
SACRAMENTO KINGS VS. PHOENIX SUNS,2025-04-13,12:30:00,Golden 1 Center,Sacramento,California,Basketball,NBA,Sports,Sacramento Kings,40.0,4000.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/sacramento-kings-vs-phoenix-suns-sacramento-california-04-13-2025/event/1C0060FA993F43C3
Phoenix Suns vs. Golden State Warriors,2025-04-08,19:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,109.0,8250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-golden-state-warriors-phoenix-arizona-04-08-2025/event/19006108E31736B4
Phoenix Suns vs. Milwaukee Bucks,2025-03-24,19:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,79.0,5250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-milwaukee-bucks-phoenix-arizona-03-24-2025/event/19006108E30A36AB
Phoenix Suns vs. Minnesota Timberwolves,2025-03-02,19:30:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,79.0,5250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-minnesota-timberwolves-phoenix-arizona-03-02-2025/event/19006108E2F0367F
Phoenix Suns vs. San Antonio Spurs,2025-04-11,19:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,79.0,5250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-san-antonio-spurs-phoenix-arizona-04-11-2025/event/19006108E32036BB
Memphis Grizzlies vs. Phoenix Suns,2025-02-25,19:00:00,FedExForum,Memphis,Tennessee,Basketball,NBA,Sports,Memphis Grizzlies,35.0,319.0,onsale,2024-08-15T19:30:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/memphis-grizzlies-vs-phoenix-suns-memphis-tennessee-02-25-2025/event/1B00610CB95A2770
Memphis Grizzlies vs. Phoenix Suns,2025-03-10,19:00:00,FedExForum,Memphis,Tennessee,Basketball,NBA,Sports,Memphis Grizzlies,35.0,319.0,onsale,2024-08-15T19:30:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/memphis-grizzlies-vs-phoenix-suns-memphis-tennessee-03-10-2025/event/1B00610CB73F23B1
Milwaukee Bucks vs. Phoenix Suns,2025-04-01,19:00:00,Fiserv Forum,Milwaukee,Wisconsin,Basketball,NBA,Sports,Milwaukee Bucks,21.0,3750.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/milwaukee-bucks-vs-phoenix-suns-milwaukee-wisconsin-04-01-2025/event/0700610514FB34AD
Phoenix Suns vs. Sacramento Kings,2025-03-14,19:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,79.0,5250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-sacramento-kings-phoenix-arizona-03-14-2025/event/19006108E2F93697
Phoenix Suns vs. Oklahoma City Thunder,2025-04-09,19:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,79.0,5250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-oklahoma-city-thunder-phoenix-arizona-04-09-2025/event/19006108E31C36B8
Phoenix Suns vs. New Orleans Pelicans,2025-02-27,20:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,50.0,3650.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-new-orleans-pelicans-phoenix-arizona-02-27-2025/event/19006108E2E73678
Phoenix Suns vs. New Orleans Pelicans,2025-02-28,19:00:00,Footprint Center,Phoenix,Arizona,Basketball,NBA,Sports,Phoenix Suns,45.0,5250.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/phoenix-suns-vs-new-orleans-pelicans-phoenix-arizona-02-28-2025/event/19006108E2EC367B
Minnesota Timberwolves vs. Phoenix Suns,2025-03-28,19:00:00,Target Center,Minneapolis,Minnesota,Basketball,NBA,Sports,Minnesota Timberwolves,48.0,389.0,onsale,2024-08-15T19:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C3jA
2025 Navy Federal Credit Union NHL Stadium Series - DET v. CBJ,2025-03-01,18:00:00,Ohio Stadium,Columbus,Ohio,Hockey,NHL,Sports,NHL Stadium Series,40.0,380.0,onsale,2024-10-04T14:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/2025-navy-federal-credit-union-nhl-columbus-ohio-03-01-2025/event/050060F1CB6D5F50
Eagles Live at Sphere,2025-02-22,20:30:00,Sphere,Las Vegas,Nevada,Rock,Pop,Music,Eagles,127.5,318.5,onsale,2024-10-11T17:00:00Z,LIVE NATION MUSIC,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-22-2025/event/17006130495885A6
Eagles Live at Sphere,2025-02-21,20:30:00,Sphere,Las Vegas,Nevada,Rock,Pop,Music,Eagles,127.5,318.5,onsale,2024-10-11T17:00:00Z,LIVE NATION MUSIC,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-02-21-2025/event/17006130492C85A3
Coachella Weekend 1 3 Day Pass,2025-04-11,,Empire Polo Field,Indio,California,Fairs & Festivals,,Miscellaneous,Coachella Valley Music and Arts Festival,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7aMAO
Orlando Magic v Los Angeles Lakers,2025-03-24,19:00:00,Kia Center,Orlando,Florida,Basketball,NBA,Sports,Orlando Magic,179.5,4940.5,onsale,2024-08-16T17:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/orlando-magic-v-los-angeles-lakers-orlando-florida-03-24-2025/event/2200610EE0971F33
Brooklyn Nets v. Los Angeles Lakers,2025-03-10,19:30:00,Barclays Center,Brooklyn,New York,Basketball,NBA,Sports,Brooklyn Nets,190.0,7100.0,onsale,2024-08-15T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/brooklyn-nets-v-los-angeles-lakers-brooklyn-new-york-03-10-2025/event/3000610DA7061C71
Portland Trail Blazers vs. Los Angeles Lakers,2025-02-20,19:00:00,Moda Center,Portland,Oregon,Basketball,NBA,Sports,Portland Trail Blazers,130.0,6800.0,onsale,2024-08-23T17:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/portland-trail-blazers-vs-los-angeles-portland-oregon-02-20-2025/event/0F0060EAC96649AA
Indiana Pacers vs. Los Angeles Lakers,2025-03-26,19:30:00,Gainbridge Fieldhouse,Indianapolis,Indiana,Basketball,NBA,Sports,Indiana Pacers,110.0,1693.0,onsale,2024-10-02T18:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/indiana-pacers-vs-los-angeles-lakers-indianapolis-indiana-03-26-2025/event/0500610EE1533BF6
Hamilton (Touring),2025-02-22,14:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),109.0,319.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-02-22-2025/event/0F006139DE8A575C
Hamilton (Touring),2025-03-01,14:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),109.0,319.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-03-01-2025/event/0F006139DEA05773
RESCHEDULED Los Angeles Lakers vs. Charlotte Hornets,2025-02-19,19:00:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,50.0,4300.0,rescheduled,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/rescheduled-los-angeles-lakers-vs-charlotte-los-angeles-california-02-19-2025/event/2C00610E84F30953
Hamilton (Touring),2025-02-23,13:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),109.0,319.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-02-23-2025/event/0F006139DE8F5764
New York Yankees vs. Milwaukee Brewers,2025-03-29,13:05:00,Yankee Stadium,Bronx,New York,Baseball,MLB,Sports,New York Yankees,35.0,420.0,onsale,2024-09-13T14:00:00Z,MLB REGULAR SEASON,https://www.ticketmaster.com/new-york-yankees-vs-milwaukee-brewers-bronx-new-york-03-29-2025/event/1D00611CAAD94CB0
Los Angeles Lakers vs. Golden State Warriors,2025-04-03,19:00:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,220.0,8840.0,onsale,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/los-angeles-lakers-vs-golden-state-los-angeles-california-04-03-2025/event/2C00610E853309B0
Hamilton (Touring),2025-02-22,20:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),99.0,289.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-02-22-2025/event/0F006139DE8C5760
RESCHEDULED Los Angeles Lakers vs. San Antonio Spurs,2025-03-17,19:30:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,120.0,7155.0,rescheduled,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/rescheduled-los-angeles-lakers-vs-san-los-angeles-california-03-17-2025/event/2C00610E84F5095A
Pittsburgh Penguins vs. Boston Bruins,2025-03-01,15:00:00,PPG Paints Arena,Pittsburgh,Pennsylvania,Hockey,NHL,Sports,Pittsburgh Penguins,66.0,399.0,onsale,2024-07-30T14:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/pittsburgh-penguins-vs-boston-bruins-pittsburgh-pennsylvania-03-01-2025/event/160060DAD97B5903
Hamilton (Touring),2025-03-01,20:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),99.0,289.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-03-01-2025/event/0F006139DEA25780
Los Angeles Lakers vs. Minnesota Timberwolves,2025-02-27,19:30:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,77.0,5795.0,onsale,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/los-angeles-lakers-vs-minnesota-timberwolves-los-angeles-california-02-27-2025/event/2C00610E85110981
Hamilton (Touring),2025-03-02,13:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),109.0,319.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-03-02-2025/event/0F006139DEA55783
Milwaukee Bucks vs. Los Angeles Lakers,2025-03-13,18:30:00,Fiserv Forum,Milwaukee,Wisconsin,Basketball,NBA,Sports,Milwaukee Bucks,37.0,5630.0,onsale,2024-08-16T19:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/milwaukee-bucks-vs-los-angeles-lakers-milwaukee-wisconsin-03-13-2025/event/0700610514ED3486
Detroit Red Wings vs. Minnesota Wild,2025-02-22,12:30:00,Little Caesars Arena,Detroit,Michigan,Hockey,NHL,Sports,Detroit Red Wings,67.0,422.25,onsale,2024-08-12T14:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/detroit-red-wings-vs-minnesota-wild-detroit-michigan-02-22-2025/event/080060E2A66A2A37
Memphis Grizzlies vs. Los Angeles Lakers,2025-03-29,19:00:00,FedExForum,Memphis,Tennessee,Basketball,NBA,Sports,Memphis Grizzlies,100.0,950.0,onsale,2024-08-15T19:30:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/memphis-grizzlies-vs-los-angeles-lakers-memphis-tennessee-03-29-2025/event/1B00610CB7342391
Hamilton (Touring),2025-02-26,19:30:00,The Orpheum Theatre Memphis,Memphis,Tennessee,Theatre,Musical,Arts & Theatre,Hamilton (Touring),49.0,219.0,onsale,2024-10-17T15:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-memphis-tennessee-02-26-2025/event/1B006143F5D28036
Philadelphia 76ers vs. Golden State Warriors,2025-03-01,20:30:00,Wells Fargo Center,Philadelphia,Pennsylvania,Basketball,NBA,Sports,Philadelphia 76ers,91.0,1854.0,onsale,,NBA REGULAR SEASON,https://www.ticketmaster.com/philadelphia-76ers-vs-golden-state-warriors-philadelphia-pennsylvania-03-01-2025/event/3000610ED82F4A3D
Hamilton (Touring),2025-02-28,20:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),59.0,249.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-02-28-2025/event/0F006139DE9C5771
Los Angeles Lakers vs. Phoenix Suns,2025-03-16,12:30:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,96.0,6440.0,onsale,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/los-angeles-lakers-vs-phoenix-suns-los-angeles-california-03-16-2025/event/2C00610E8521099A
Hamilton (Touring),2025-02-21,20:00:00,Paramount Theatre,Seattle,Washington,Theatre,Musical,Arts & Theatre,Hamilton (Touring),59.0,249.0,onsale,2024-10-08T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-seattle-washington-02-21-2025/event/0F006139DE875759
Carolina Hurricanes vs. Detroit Red Wings,2025-03-14,19:00:00,Lenovo Center,Raleigh,North Carolina,Hockey,NHL,Sports,Carolina Hurricanes,40.0,460.0,onsale,2024-08-15T16:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/carolina-hurricanes-vs-detroit-red-wings-raleigh-north-carolina-03-14-2025/event/2D0060F7BAC08242
Portland Trail Blazers v Los Angeles Lakers - Fan Appreciation Night,2025-04-13,12:30:00,Moda Center,Portland,Oregon,Basketball,NBA,Sports,Portland Trail Blazers,85.0,6800.0,onsale,2024-08-23T17:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/portland-trail-blazers-v-los-angeles-portland-oregon-04-13-2025/event/0F0060EAC9A549FB
Los Angeles Lakers vs. New Orleans Pelicans,2025-03-04,19:30:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,62.0,4400.0,onsale,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/los-angeles-lakers-vs-new-orleans-los-angeles-california-03-04-2025/event/2C00610E851B0995
Carolina Hurricanes vs. Boston Bruins,2025-03-06,19:00:00,Lenovo Center,Raleigh,North Carolina,Hockey,NHL,Sports,Carolina Hurricanes,65.0,465.0,onsale,2024-08-15T16:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/carolina-hurricanes-vs-boston-bruins-raleigh-north-carolina-03-06-2025/event/2D0060F7BAB58233
Tampa Bay Lightning vs. Boston Bruins,2025-03-08,15:00:00,Amalie Arena,Tampa,Florida,Hockey,NHL,Sports,Tampa Bay Lightning,98.25,1000.25,onsale,2024-08-16T14:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/tampa-bay-lightning-vs-boston-bruins-tampa-florida-03-08-2025/event/0D006101AB9D31EA
Los Angeles Lakers vs. New Orleans Pelicans,2025-04-04,19:30:00,Crypto.com Arena,Los Angeles,California,Basketball,NBA,Sports,Los Angeles Lakers,77.0,5795.0,onsale,2024-08-22T20:00:00Z,NBA REGULAR SEASON,https://www.ticketmaster.com/los-angeles-lakers-vs-new-orleans-los-angeles-california-04-04-2025/event/2C00610E853709B2
Coachella Weekend 2 3 Day Pass,2025-04-18,,Empire Polo Field,Indio,California,Fairs & Festivals,,Miscellaneous,Coachella Valley Music and Arts Festival,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7aMA-
St. Louis Blues v Chicago Blackhawks,2025-03-22,14:00:00,Enterprise Center,Saint Louis,Missouri,Hockey,NHL,Sports,St. Louis Blues,48.0,389.0,onsale,2024-08-22T15:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/st-louis-blues-v-chicago-blackhawks-saint-louis-missouri-03-22-2025/event/060060E9EBFA4884
Minnesota Wild vs. Pittsburgh Penguins,2025-03-09,14:30:00,Xcel Energy Center,Saint Paul,Minnesota,Hockey,NHL,Sports,Minnesota Wild,89.0,564.0,onsale,2024-08-15T19:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.com/minnesota-wild-vs-pittsburgh-penguins-saint-paul-minnesota-03-09-2025/event/060060EB9CBD6EB4
